NAME	LSEC	hepatocytes	KC	B cells	HSC	cholangiocytes	T cells	DC/monocyte	proliferating cells
Arhgap25	1	1	677.584700447602	264.374662950173	1	1	250.06823254077	1	1
Arhgap28	1	1	1	1	359.422263286168	1	1	1	1
Arhgap35	312.414522775209	128.990831466022	1	1	1	1	1	1	397.956386435883
Arhgap39	1	1	442.185761298697	1	1	1	1	239.691846905536	1
Arhgap42	1	875.230516759287	1	1	2463.88199204416	1	194.820802081849	1	1
Arhgap6	1	147.87009019845	1	209.720674087595	1996.96126265198	2581.28005360455	1	410.630198751531	1
Arhgap9	1	1	184.731677312503	1	1	1	382.464931298003	1	1
Arhgdia	1	1	1	1	1	1	1	320.554692459603	1
Arhgdib	1	1	1	293.802232334234	1	1	192.731662451448	1	1
Arhgef10l	1	105.269972302666	1	1	1	201.059693301337	1	1	1
Arhgef15	615.999982667284	1	1	1	1	1	1	1	785.823629260153
Arhgef17	1	1	1	1	287.032224085103	294.824737362339	1	1	1
Arhgef18	1	1	1	785.68917235145	1	1	422.76489004046	1	1
Arhgef2	1	1	424.043186709038	1	1	1	1	217.406133978276	1
Arhgef25	1	1	1	1	262.187478901702	1	1	1	1
Arhgef26	1	1102.20767488608	1	1	1	357.183792584868	238.596753321526	1	1
Arhgef40	1	1	1	1	244.556699061284	1	1	241.09691545751	1
Arhgef7	350.176587072583	1	1	1	1	1	1	1	344.751272974459
Arid3a	1	1	1	250.518165958725	1	1	1	1	1
Arl4d	1	224.97132352526	1	1	1	1	1	1	1
Arl6ip1	1	1	1	1	1	1	1	1	143.173201544256
Arl8b	1	1	1	1	1	1	1	1	231.741473820773
Armc8	1	1	264.982650369755	1	1	255.254470498117	1	125.397371362782	1
Armcx3	1	1	1	1	1	1	1	1	186.082737167455
Arrb1	374.554234383502	1	1	1	212.300180267886	1	1	1	172.278431843499
Arrdc3	1	1	221.946583780618	1	1	1	1	1	1
Arsb	1	1	1	1	1	1	693.971217044594	598.755711932271	1
Art2b	1	1	1	1	1	1	301.347943449729	1	1
Arvcf	1	1	1	1	1157.61849269551	1	1	1	1
Asah1	1	1	419.686190455859	1	1	1	1	339.849192622821	1
Asah2	234.055390551413	1	1	1	1	1	1	1	1
Asb3	1	1	1	1	1	227.066990984199	1	1	1
Ascc2	1	94.4289558254692	198.395681109546	1	1	1	1	1	1
Asf1b	1	1	1	1	1	1	1	1	116.943852603163
