"","HFDHFDHFD_wt_1","HFDHFDHFD_ko_2","HFDHFDHFD_ko_3","HFDHFDHFD_ko_4","HFDCDCD_wt_5","HFDCDCD_ko_6","HFDHFDHFD_ko_7","HFDHFDHFD_wt_8","HFDHFDHFD_wt_9","HFDHFDHFD_ko_10","CDCDHFD_wt_11","CDCDHFD_ko_12","CDCDHFD_ko_13","CDCDCD_wt_14","HFDCDCD_wt_15","HFDCDCD_wt_16","HFDHFDHFD_ko_17","CDCDCD_wt_18","CDCDCD_wt_19","CDCDCD_wt_20","CDCDCD_wt_21","CDCDCD_wt_22","CDCDCD_ko_23","CDCDCD_wt_24","CDCDCD_ko_25","CDCDHFD_wt_26","HFDCDCD_ko_27","CDCDHFD_ko_28","CDCDHFD_wt_29","HFDHFDHFD_ko_30","HFDCDCD_ko_31","CDCDCD_ko_32","CDCDCD_ko_33","CDCDCD_ko_34","CDCDHFD_ko_35","CDCDHFD_ko_36","CDCDHFD_wt_37","CDCDHFD_wt_38","HFDCDCD_ko_39","HFDCDCD_ko_40","HFDCDCD_wt_41","HFDCDCD_wt_42","HFDHFDHFD_wt_43"
"TAG(52:3)_TAG",172087.993311748,34470.2782637623,19109.925529921,23623.5404157954,20792.4701160012,2170.70205917503,13166.4458013495,41058.6007254926,27431.2510081372,43198.8208284414,8792.91997280599,5176.28060567149,4054.89897388559,1246.93500029504,11169.1584936032,6803.07967042238,8092.04771404514,3107.82884232017,8801.23059655451,3439.27793256334,1607.16461290244,4719.94427527026,2385.0052890211,4748.37324888501,10207.986950673,3886.58152700903,4232.13556094863,8354.92842613258,6108.86089592798,41323.9039951517,3372.79100611763,2793.06491990565,4271.79928398879,6730.26799706311,6708.49048908284,7095.87494735106,18492.0040041034,10965.1690222491,3343.97452973117,3562.37704660011,7461.35798442064,21475.4863035318,9594.99085950743
"TAG(52:2)_TAG",54777.0978417729,48088.8745576594,26324.4853339478,26157.3034269315,17272.4700939501,1703.5643738084,17258.4817227259,60728.3347150528,34414.3656543745,58653.6333317934,7219.19363236228,4811.9029346566,3544.66153980795,1466.37558093591,9526.87542067221,4724.89254970114,10217.2374647349,2633.81007843504,6646.72939913461,2385.86332285105,1152.70085672363,4933.62841732255,2047.22666740527,3202.71028598551,7259.6893003813,3441.46608360755,4465.07996311136,10033.1430211496,6240.90435036829,56865.1482585362,3454.56843731272,3662.918311402,5635.28435983975,5217.74368275283,8612.56184369806,9205.57833713828,22360.1500668505,12162.0405076291,3711.88606403794,3903.77282441199,7078.83420764362,31007.2760847481,11108.7560278021
"TAG(54:8)_TAG",1035.00160117444,86.3456592388777,48.5739247547169,72.2307557500969,127.04680895577,7.70099089259805,29.6324322886478,77.310279512954,73.4028951361086,95.5477582437656,21.4535500330897,9.02373538750318,8.74319247638658,2.4552744829214,82.1170505357967,57.0960912901433,17.5186535473105,9.88637442500547,70.4177563793506,14.6300643133612,9.29085506924448,13.1493533306502,8.26855613844299,52.5923462979894,77.5468188697128,6.88159096951406,10.9213026339787,21.439632467514,10.7196054550242,92.7328214362803,5.65427073702586,5.17829476071528,8.93400651476592,38.8605979795124,13.1803815637431,13.484161066427,55.7916315921415,27.6834049577544,4.07357866180318,5.01941265176636,0,42.9434387621257,24.3962849920869
"TAG(54:7)_TAG",10777.9010525681,935.714489572907,487.178578594369,734.007728931974,1110.11170818829,59.4191428007021,312.963873435,786.662422322613,845.410623912077,989.054699207896,203.654605153468,97.4322088635237,85.9267894939033,24.7521557407569,736.59714060419,492.149574824188,184.306630971927,90.2635642394002,618.396532156543,122.841267205472,77.5959633283324,121.039462768547,79.3318148582318,412.194307333416,582.065969672157,65.0579313675587,116.862436062622,235.057556639341,130.141276591175,942.96725618601,48.9611086476938,43.5196424637086,90.6658363322464,350.12537506233,118.603239781826,136.590087346039,617.72821718058,336.824747998669,50.9527915827442,43.9665192606427,170.962162244401,433.360935077247,254.928223774615
"TAG(54:6)_TAG",36146.0142830712,3498.02782828793,1718.76245452648,2862.44617235313,3678.10090098018,217.614815933299,1245.6275724259,2903.31297282735,2903.07828762742,3282.6983685843,918.549422020064,523.37035871328,477.865047234698,89.3002739946312,2257.521932263,1612.33882029869,767.532781921042,291.568903522082,2022.37288341155,386.478240527338,210.861335546738,409.691565004785,226.477164365274,1102.76130534875,1804.5357578405,342.499839547688,389.354753869778,1022.03040561214,648.715356395923,3193.10779087038,219.661402975403,161.883354137807,311.722170914851,1137.42234871275,460.398326639021,483.191928148736,2450.96883732897,1392.65702009127,205.626302401655,200.430771242529,739.679393865628,1631.64912511242,945.129122200947
"TAG(54:5)_TAG",51474.7780947593,5306.40344723092,2858.92370503373,4175.07226584067,5856.03616928826,370.740177092156,2220.1120310584,3970.22960743756,3335.87864556686,3689.75560707218,1157.68800769634,701.672416448569,655.91632888391,169.623519747456,3663.44146018739,2573.62911860141,1217.55760460259,548.918451589819,3081.69660025954,657.498428222321,314.921972000192,785.484089114673,372.338099120454,1564.00845196142,2783.11255794764,535.185527896124,721.539203511187,1554.42499404444,980.535052181986,3764.03088880352,453.307563537638,381.890674030509,615.787632880017,1808.92991328316,900.876323773132,887.270047364439,3828.86942282065,1901.36187061245,440.827327827513,487.151323705607,905.066279211295,2654.8471095685,1483.44228328273
"TAG(54:4)_TAG",0,0,0,0,0,0,0,0,0,0,0,-0.0021702627257758,-0.00134213319359981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0021338883808004,0,0,0,0,0,0,0,0,0,0,0,0
"TAG(54:3)_TAG",31654.069095443,4348.92587535239,5218.29171326205,3288.65030791505,6100.91897800572,525.704879987103,4048.51478895056,7997.80119293255,4312.57489853046,6977.8806903475,246.793240031896,136.920356185287,-0.00134213319359981,0,3441.10753430521,1089.33981605875,1267.1890406807,0,2068.03274600162,92.8462928488437,0,487.123277083067,48.9501629544327,907.452406412565,2543.14683550214,-0.00285300510748702,128.641351054003,735.335123723386,116.573755671047,6388.14219694099,91.3410921401612,0,-0.00707644080377499,1362.39948013868,341.505978780839,454.520393932136,744.452414204853,586.552110653408,0,127.838346859695,603.87136684518,5464.43479514578,1126.18765799721
"TAG(54:2)_TAG",3045.64747174516,1551.09711567599,1511.70067339622,1595.8559716724,987.484209888354,0,1096.51385500594,2788.27825472108,1783.75783979019,2618.03161809803,0,0,0,-0.00294768531475047,416.409704114884,145.762141187112,531.039308032572,-0.00242953232782588,263.759842228519,-0.00253701270466582,-0.00220120713353973,0,-0.00111731960494341,118.562479540069,340.637067565205,-0.00285300510748702,0,0,0,2402.43564655556,-0.0021338883808004,-0.00294062566269075,-0.00707644080377499,148.355668790809,0,0,0,0,-0.0072258601539746,-0.00312882197398558,0,1531.54221751861,381.359309438159
"TAG(56:10)_TAG",89.9842307847002,4.34733961160007,5.12108366135933,6.58556000305419,20.5329254446007,0.397769772629052,3.4328825513574,4.62416244239302,7.90786382579191,7.02390786268772,0.90220571173824,0.161250520525142,0,0,12.8333742713136,5.009037254969,1.18525164612172,0,10.8600951389162,0.267020587166078,0,0.420588247111869,0.0715084547163785,6.20918742379062,11.4508108183553,0,0,1.28340722519974,0,5.44622560199727,0,0,0,3.70837187022706,0,0,1.16696298593061,1.04635812855625,0,0,0,3.7401100156599,1.79015390224945
"TAG(56:9)_TAG",1233.99656638378,65.8112271671248,70.5965951644315,118.007954765709,270.185003797313,13.4480448565847,45.4329063004448,76.6152762797426,111.005282753391,106.394157027545,10.9834252691209,4.28181984481936,0.561414314882799,0,146.386474869932,71.995457230435,21.9944836293498,0.33794794680058,142.374091400603,3.41951257398383,0.180939226376966,7.92868194368455,1.29659353555658,79.5072260662613,150.413989217003,0.340078208812453,2.33537921174789,18.914760486095,3.7138081593072,92.9323487591754,0.856542796053281,0,0,53.4120251598996,3.41881118661813,4.7689555557597,21.2119589836964,19.8159001816323,0,0.853699075601965,24.6533805988315,56.8083174371283,27.6052797225936
